Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
intermissionB_4583c315	bk	Non mi sento di biasimarlo, la colpa non è del poliziotto. {w}È della povera stolta che in lui ha riposto fiducia.	game/scripts/intermission.rpy	299	bk "[what]"
intermissionB_67cbc3ef	ck	Chiedere aiuto a un detective? Mi sembra familiare.	game/scripts/intermission.rpy	301	ck "[what]"
intermissionB_2de31459	bk	....	game/scripts/intermission.rpy	305	bk "[what]"
intermissionB_9608d05d	ck	Tu e capelli blu non siete solo due gocce d'acqua nell'aspetto, eh Bern? Ehahaha.	game/scripts/intermission.rpy	307	ck "[what]"
intermissionB_9bf0c7ab	bk	Chi ti ha dato il permesso di abbreviare il mio nome?	game/scripts/intermission.rpy	309	bk "[what]"
intermissionB_25be5600	ck	Ah, umh..	game/scripts/intermission.rpy	311	ck "[what]"
intermissionB_cd51326f	bk	Credevo di essere stata chiara riguardo a Rika. Lei non è me. Io non sono lei.	game/scripts/intermission.rpy	313	bk "[what]"
intermissionB_0f8b6096	bk	{cps=*0.5}{i}Non farmelo ripetere un'altra volta.{/i}{/cps}	game/scripts/intermission.rpy	315	bk "[what]"
intermissionB_52556a26	ck	Ricevuto.	game/scripts/intermission.rpy	317	ck "[what]"
intermissionB_8516270e	bk	Continua pure a guardare questo inutile episodio fino a che non sarai soddisfatto. {w}Io ho visto abbastanza, mi ritiro adesso.	game/scripts/intermission.rpy	319	bk "[what]"
intermissionB_bd2c2a50	ck	Hey aspetta, non mi hai detto come devo fare per tornare indietro.	game/scripts/intermission.rpy	321	ck "[what]"
intermissionB_51e4fbe2	bk	Ce la farai in un modo o nell'altro.	game/scripts/intermission.rpy	323	bk "[what]"
intermissionB_88e0769f	ck	Cavolo, spero non se la sia presa...{w} Ha persino rotto il tono monotono per un momento.	game/scripts/intermission.rpy	327	ck "[what]"
intermissionB_5f057ce1	ck	Devo proprio imparare a pronunciare il suo nome.	game/scripts/intermission.rpy	329	ck "[what]"
test_17930026	ck	DANNAZIONeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeE	game/scripts/test.rpy	7	ck "[what]"
test_6144c894		[a]	game/scripts/test.rpy	9	"[what]"
test_4945085f		indeed	game/scripts/test.rpy	11	"[what]"
test_6144c894_1		[a]	game/scripts/test.rpy	13	"[what]"
test_fa11405c	ck	chi ha parlatoooooooooooooooo!	game/scripts/test.rpy	14	ck "[what]"
returnal_3e6ad69b	ck	Grazie Akasaka, so che non puoi sentirmi, ma mi hai dato delle informazioni indispensabili.	game/scripts/turnabout_witch.rpy	14	ck "[what]"
returnal_0274fbd6	ck	Tutta la faccenda del rapimento da solidità alla teoria Sonozaki.	game/scripts/turnabout_witch.rpy	26	ck "[what]"
returnal_4aa6585b	ck	Dopotutto, se ci fidiamo di quell'informatore, la loro matriarca ne era al corrente e ha dato ordini al riguardo.	game/scripts/turnabout_witch.rpy	28	ck "[what]"
returnal_ac906369	ck	Anche Ooishi sostiene questa teoria.	game/scripts/turnabout_witch.rpy	35	ck "[what]"
returnal_14e581ad	ck	Oltre ad essere un bravo l'investigatore, ha lavorato nei dintorni di Hinamizawa per tutta la sua carriera. Quindi è molto familiare con le sue dinamiche.	game/scripts/turnabout_witch.rpy	37	ck "[what]"
returnal_7a8403d7	ck	Ma se davvero sono riusciti a fare una cosa del genere non sono solo un semplice gruppo di yakuzari.	game/scripts/turnabout_witch.rpy	39	ck "[what]"
returnal_ad72e21e	ck	Poi c'è capelli blu, detta Rika...	game/scripts/turnabout_witch.rpy	46	ck "[what]"
returnal_68c8432c	ck	Lei non solo ha una seconda faccia, ma conosce per filo e per segno tutti gli omicidi che avverranno. {w}Infine ha previsto che in cinque anni culmineranno con la sua morte.	game/scripts/turnabout_witch.rpy	52	ck "[what]"
returnal_266f9692	ck	Non so ancora se sia posseduta, o se vuole solo darlo a vedere.	game/scripts/turnabout_witch.rpy	54	ck "[what]"
returnal_04806a14	rika	Voglio soltanto vivere felice.	game/scripts/turnabout_witch.rpy	60	rika "[what]"
returnal_574bed0f	rika	Non voglio morire.	game/scripts/turnabout_witch.rpy	64	rika "[what]"
returnal_c065a5dc	ck	Una trappola o una genuina richiesta di aiuto? {w}Mi chiedo cosa avrei fatto io al posto di Akasaka.	game/scripts/turnabout_witch.rpy	67	ck "[what]"
returnal_84e0efce	ck	Grazie al mio potere ho ottenuto una abilità di spionaggio impareggiabile. {w}Quando riuscirò a padroneggiarla potrò vedere tutto, e nessuno potrà vedere me.	game/scripts/turnabout_witch.rpy	74	ck "[what]"
returnal_0ea1109f	ck	Si, questa è la mia {nw}	game/scripts/turnabout_witch.rpy	77	ck "[what]"
returnal_94d82aeb	extend	{color=#480000}{b}prospettiva fantasma.{/b}{/color}	game/scripts/turnabout_witch.rpy	79	extend "[what]"
returnal_32a1f493	ck	Ma ciò non mi permette di prendere le redini e cambiare gli eventi.	game/scripts/turnabout_witch.rpy	81	ck "[what]"
returnal_dc0594f9	ck	Tutto quello che posso fare adesso è tornare da Bern e fare rapporto.	game/scripts/turnabout_witch.rpy	83	ck "[what]"
returnal_21438a30	n	Ormai per quattro volte, lo spirito di Check era stato trascinato da frammento in frammento, costretto ogni volta ad assistere a tragedie e orrori senza una via di fuga in vista.	game/scripts/turnabout_witch.rpy	92	n "[what]"
returnal_601da834	n	Eppure lui sapeva che il peggio doveva ancora venire.	game/scripts/turnabout_witch.rpy	92	n "[what]"
returnal_41337e5e	n	Fù allora che Check pensò tra se e se, che forse sarebbe meglio finirla quì. {w}Rinunciare ai richiami della strega, e tornare ad essere un semplice essere umano.	game/scripts/turnabout_witch.rpy	92	n "[what]"
returnal_70c4d8e6	n	Sarebbe tanto semplice quanto lasciarsi andare alla deriva in questo immenso mare.	game/scripts/turnabout_witch.rpy	92	n "[what]"
returnal_38182801	n	Qualcun altro scoprirà la verità, un altro detective arriverà prima o poi a risolvere tutti i misteri. {w}Non era certo una sua responsabilità.	game/scripts/turnabout_witch.rpy	92	n "[what]"
returnal_a5995998	n	Ecco perchè in quel momento Check scelse la resa.	game/scripts/turnabout_witch.rpy	92	n "[what]"
scelta_6cc75803	n	Hehem... Ripeto. {w}Check scelse la resa perchè aveva perso la voglia di combattere.	game/scripts/turnabout_witch.rpy	113	n "[what]"
scelta_5662e823	n	{i}{size=20}Come ti dicevo, con lui non sarà così facile.{w}\n\nShhh! Zitta e stai a vedere.{/size}{/i}	game/scripts/turnabout_witch.rpy	118	n "[what]"
scelta_10f16a2e	n	Ormai perso nei suoi dubbi, Check {b}non riusciva più a trovare{/b} la determinazione per andare avanti... {w}Letteralmente.	game/scripts/turnabout_witch.rpy	119	n "[what]"
scelta_bb2cf764	n	...	game/scripts/turnabout_witch.rpy	134	n "[what]"
resa_94e0531d	h07	Che cosa stai dicendo, non ti è permesso fermarti ora.	game/scripts/turnabout_witch.rpy	155	h07 "[what]"
resa_4596a21f	c07	Si, sarebbe troppo anticlimatico, proprio al giro di boa.	game/scripts/turnabout_witch.rpy	157	c07 "[what]"
resa_6c202cf6	h07	Forse era troppo per lui.	game/scripts/turnabout_witch.rpy	159	h07 "[what]"
resa_f5264fe0	c07	Forse non dovevamo dirgli dei traumi che verranno.	game/scripts/turnabout_witch.rpy	161	c07 "[what]"
resa_440c8e41	h07	Detto ciò, arrivati a questo punto dobbiamo continuare fino alla fine.	game/scripts/turnabout_witch.rpy	163	h07 "[what]"
resa_01d659b9	ch07	Check, abbi la determinazione di perseverare.	game/scripts/turnabout_witch.rpy	167	ch07 "[what]"
resa_repeat_3c75ef95	h07	Non hai capito che è una trappola?	game/scripts/turnabout_witch.rpy	178	h07 "[what]"
resa_repeat_5cf5a771	c07	Ritorna Check, e resta determinato.	game/scripts/turnabout_witch.rpy	179	c07 "[what]"
turnabout_bde41825	ck	Hey Bern credo proprio che capelli blu....	game/scripts/turnabout_witch.rpy	203	ck "[what]"
turnabout_5239e6fb	ld	Munch munch - nom nom - munch munch	game/scripts/turnabout_witch.rpy	208	ld "[what]"
turnabout_b002e64a	ck	Cos'è questo chiasso! Chi è che mastica?	game/scripts/turnabout_witch.rpy	214	ck "[what]"
turnabout_3e7842cd	n	Al tuo ritorno trovi una ragazzina bionda vestita di rosa seduta al tavolo di Bernkastel.	game/scripts/turnabout_witch.rpy	229	n "[what]"
turnabout_f58ef58d	ck	Capelli gialli!?	game/scripts/turnabout_witch.rpy	231	ck "[what]"
turnabout_c16df492	ld	Chi hai chiamato... nom nom... capelli gialli.	game/scripts/turnabout_witch.rpy	235	ld "[what]"
turnabout_e9a8db17	n	Non smette di ingozzarsi di biscotti neanche per risponderti, mentre li manda giù bevendo tè a fiumi.	game/scripts/turnabout_witch.rpy	237	n "[what]"
turnabout_4328ddae	ck	Ehm Bern... e questa chi diamine sarebbe? Una tua amica?	game/scripts/turnabout_witch.rpy	245	ck "[what]"
turnabout_34d956d9	bk	Mentre non c'eri è venuta a fare visita... o forse è meglio dire che si è autoinvitata.	game/scripts/turnabout_witch.rpy	247	bk "[what]"
turnabout_0bb0e662	bk	Le ho offerto la minima ospitalità fino a che non saresti tornato.	game/scripts/turnabout_witch.rpy	249	bk "[what]"
turnabout_cdb40ec8	ck	E questo è il risultato...	game/scripts/turnabout_witch.rpy	251	ck "[what]"
turnabout_bacb7367	n	A te i biscotti non li ha mai offerti... ma a giudicare dalla scena devono essere fantastici.	game/scripts/turnabout_witch.rpy	253	n "[what]"
turnabout_fb7e9490	ck	Beh, piacere, puoi chiamarmi Check... E tu saresti?	game/scripts/turnabout_witch.rpy	255	ck "[what]"
turnabout_f5697b53	ld	Lumhaheta.	game/scripts/turnabout_witch.rpy	259	ld "[what]"
turnabout_8ff3102d	ck	Ehi mocciosa, nessuno ti ha insegnato a non parlare con la bocca piena?	game/scripts/turnabout_witch.rpy	263	ck "[what]"
turnabout_6ae258d2	ld	Nom nom - munch munch - ...Gulp!	game/scripts/turnabout_witch.rpy	267	ld "[what]"
turnabout_e9a9b452	ld	Che insolente! Osi chiamarmi mocciosa quando dal mio punto di vista sei tu il neonato.	game/scripts/turnabout_witch.rpy	270	ld "[what]"
turnabout_be0f48e1	ld	E poi non è colpa mia se i biscotti sono così buoni! {w}Più ne mangio e più ne compaiono di nuovi.	game/scripts/turnabout_witch.rpy	272	ld "[what]"
turnabout_ec36730b	ld	Così non posso finirli al {b}100%%{/b}!	game/scripts/turnabout_witch.rpy	274	ld "[what]"
turnabout_f414c06e	ld	Dannati dolciumi, non avrete la meglio su di me! *Munch Munch Munch - Gulp*	game/scripts/turnabout_witch.rpy	279	ld "[what]"
turnabout_0da5f0d8	bk	Sembra essere entrata in una qualche competizione con la sua stessa merenda.	game/scripts/turnabout_witch.rpy	281	bk "[what]"
turnabout_b963bce9	ld	AAAAAH!	game/scripts/turnabout_witch.rpy	287	ld "[what]"
turnabout_7e87bec6	n	Improvvisamente si alza in piedi come se avesse ricordato qualcosa di importante.	game/scripts/turnabout_witch.rpy	292	n "[what]"
turnabout_3dcff718	ld	È vero! Non sono venuta quì per fare merenda!	game/scripts/turnabout_witch.rpy	294	ld "[what]"
turnabout_c2b681e5	ck	Ma davvero?	game/scripts/turnabout_witch.rpy	296	ck "[what]"
turnabout_ee8864ed	ld	Ehem. Check e Bernkastel! Quest'oggi mi rivolgo alla vostra attenzione per annunciare che io, Lambdadelta la strega della certezza, trovo la vostra collaborazione totalmente antisportiva e di cattivo gusto.	game/scripts/turnabout_witch.rpy	310	ld "[what]"
turnabout_c7ad2d71	ld	Questa sfida era tra me e Bern, ma quando lei stava per perdere ha portato dentro un elemento imprevisto come te. {w}Non sa proprio perdere, farebbe di tutto per arrampicarsi sugli specchi un po' più a lungo.	game/scripts/turnabout_witch.rpy	312	ld "[what]"
turnabout_523e3465	bk	Non ricordo di averti autorizzata ad accorciare il mio no---{nw}	game/scripts/turnabout_witch.rpy	316	bk "[what]"
turnabout_ec2fe01a	ld	E quando giustamente metto degli ostacoli per limitare la tua influenza, tu li ignori!!	game/scripts/turnabout_witch.rpy	323	ld "[what]"
turnabout_9decf6e6	ld	Che significa che puoi guardare i frammenti dalle teste degli altri? Non vale non vale non vale!!!	game/scripts/turnabout_witch.rpy	325	ld "[what]"
turnabout_60a9c121	ck	Hai frainteso qualcosa scricciolo, non è stata Bern a coinvolgermi. 	game/scripts/turnabout_witch.rpy	333	ck "[what]"
turnabout_94edfc8f	extend	Sono quì di mia volontà perchè ho un conto in sospeso giù a Hinamizawa con un certo tuo omonimo.	game/scripts/turnabout_witch.rpy	336	extend "[what]"
turnabout_85fc579d	ld	Se è per quello puoi anche rinunciarci, tanto è una battaglia impossibile da vincere.	game/scripts/turnabout_witch.rpy	339	ld "[what]"
turnabout_dce9dfcc	ld	Una volta su 100 forse riusciresti a sopravvivere, ma anche in quel caso il tuo BKG sarebbe spacciato. {w}Fa parte della rete di certezza che io e quella persona abbiamo tessuto attorno a Hinamizawa.	game/scripts/turnabout_witch.rpy	341	ld "[what]"
turnabout_772cac09	bk	Un lavoro magistrale, vorrei sapere il nome di questa altra persona per poterle dare una medaglia.	game/scripts/turnabout_witch.rpy	345	bk "[what]"
turnabout_2c829468	ld	Ma certo, si chiama.... 	game/scripts/turnabout_witch.rpy	348	ld "[what]"
turnabout_45bd5e87	extend	HEY non vale! Ci sono quasi cascata!	game/scripts/turnabout_witch.rpy	352	extend "[what]"
turnabout_6a2f3a4a	ld	Ma ormai non funziona più, non avrete così facilmente il nome del colpevole.	game/scripts/turnabout_witch.rpy	356	ld "[what]"
turnabout_b6a63c49	ck	Non so quale sia il vostro obiettivo, ma il BKG non si abbasserà a vostro stumento. {w}Lo difenderò a tutti i costi.	game/scripts/turnabout_witch.rpy	360	ck "[what]"
turnabout_4ae10d84	ld	Sai come negli scacchi esistono delle configurazioni di pezzi da cui è impossibile per uno dei due giocatori vincere?	game/scripts/turnabout_witch.rpy	362	ld "[what]"
turnabout_551f6c7a	ld	Vedi Check, il nostro gioco ha raggiunto quel punto di non ritorno, ecco perchè persino io non posso più farti riavere il BKG. {w}Al {b}100%%{/b}! Hahahahahaha!	game/scripts/turnabout_witch.rpy	364	ld "[what]"
turnabout_ebf99761	bk	Allora non dovrebbero esserci problemi nel fare quello che vogliamo, tanto non porterebbe a nulla, o sbaglio?	game/scripts/turnabout_witch.rpy	367	bk "[what]"
turnabout_58784962	ld	Eh? Ah, però dobbiamo comunque essere leali fino alla fine.	game/scripts/turnabout_witch.rpy	370	ld "[what]"
turnabout_b5b8876c	ck	Ci stai dicendo che anche se ora andassi a rivedere tutti i frammenti da dieci punti di vista diversi non cambierebbe il risultato del tuo piano perfetto.	game/scripts/turnabout_witch.rpy	375	ck "[what]"
turnabout_25aa524d	ck	Allora ci possiamo salutare Lambda, la festa è finita.	game/scripts/turnabout_witch.rpy	377	ck "[what]"
turnabout_76ba9a30	ck	Sai, visto che non ho niente da fare mi sa che andrò anch'io a fare un pò di turismo come Akasaka. {w}Turismo mentale, si intende.	game/scripts/turnabout_witch.rpy	379	ck "[what]"
turnabout_63c6fbf9	ld	AAAAH! Eddai eddai eddai seguite le regole! Waaah.	game/scripts/turnabout_witch.rpy	382	ld "[what]"
turnabout_a144c9e2	bk	Oh cielo, l'hai fatta piangere.	game/scripts/turnabout_witch.rpy	386	bk "[what]"
turnabout2_3b2c0a01	ck	Puoi anche smettere di comportarti come una bambina viziata.	game/scripts/turnabout_witch.rpy	393	ck "[what]"
turnabout2_ecacc0e1	ck	Non mi puoi fregare con la carineria, so che sotto la maschera sei più subdola di come sembri.	game/scripts/turnabout_witch.rpy	394	ck "[what]"
turnabout2_0824c3a8	ld	.......	game/scripts/turnabout_witch.rpy	396	ld "[what]"
turnabout2_f2152e26	ld	*cackle cackle cackle*	game/scripts/turnabout_witch.rpy	401	ld "[what]"
turnabout2_9591e648	ld	Sembra che non hai ancora capito il messaggio quindi sarò più chiara.	game/scripts/turnabout_witch.rpy	403	ld "[what]"
